time	dest	src	seqn
07:43.159	1	9	14
07:43.791	1	4	14
07:45.397	1	2	14
07:45.585	1	10	14
08:01.955	1	4	15
08:02.744	1	5	15
08:03.037	1	6	15
08:05.921	1	8	15
08:07.030	1	10	15
08:09.166	1	9	15
08:12.187	1	2	15
08:12.594	1	7	15
08:13.732	1	3	15
08:31.961	1	8	16
08:32.569	1	10	16
08:34.185	1	6	16
08:35.018	1	9	16
08:35.641	1	7	16
08:36.838	1	4	16
08:37.084	1	3	16
08:38.486	1	5	16
08:42.046	1	2	16
09:02.087	1	5	17
09:02.219	1	8	17
09:02.866	1	2	17
09:03.838	1	9	17
09:07.505	1	6	17
09:09.328	1	10	17
09:09.404	1	3	17
09:14.064	1	4	17
09:14.868	1	7	17
09:32.029	1	6	18
09:32.320	1	8	18
09:33.499	1	10	18
09:34.253	1	9	18
09:36.822	1	5	18
09:40.890	1	2	18
09:41.759	1	4	18
09:42.032	1	7	18
09:45.928	1	3	18
10:00.390	1	8	19
10:00.835	1	2	19
10:01.663	1	10	19
10:02.373	1	3	19
10:03.474	1	6	19
10:03.549	1	4	19
10:04.446	1	7	19
10:11.704	1	5	19
10:13.385	1	9	19
10:31.054	1	8	20
10:32.626	1	5	20
10:34.132	1	2	20
10:35.546	1	10	20
10:40.556	1	4	20
10:43.772	1	6	20
10:43.862	1	9	20
10:44.935	1	3	20
10:45.040	1	7	20
11:03.373	1	6	21
11:05.807	1	9	21
11:09.233	1	2	21
11:10.437	1	8	21
11:12.408	1	4	21
11:12.773	1	10	21
11:13.416	1	5	21
11:13.671	1	3	21
11:14.399	1	7	21
11:32.243	1	7	22
11:32.846	1	9	22
11:33.228	1	4	22
11:33.275	1	5	22
11:38.107	1	6	22
11:39.164	1	8	22
11:40.968	1	2	22
11:44.468	1	10	22
11:45.272	1	3	22
12:01.257	1	10	23
12:03.842	1	3	23
12:06.470	1	2	23
12:07.105	1	9	23
12:07.643	1	4	23
12:13.217	1	6	23
12:13.509	1	5	23
12:14.359	1	8	23
12:14.438	1	7	23
12:30.648	1	8	24
12:31.206	1	9	24
12:32.701	1	6	24
12:36.006	1	3	24
12:36.907	1	7	24
12:38.741	1	2	24
12:39.103	1	5	24
12:41.264	1	10	24
12:42.775	1	4	24
13:01.252	1	4	25
13:01.655	1	2	25
13:03.821	1	7	25
13:03.889	1	3	25
13:04.156	1	8	25
13:07.709	1	6	25
13:10.116	1	10	25
13:13.276	1	9	25
13:13.361	1	5	25
13:31.380	1	6	26
13:40.197	1	4	26
13:41.415	1	7	26
13:41.508	1	8	26
13:41.936	1	10	26
13:42.115	1	3	26
13:42.265	1	2	26
13:45.579	1	5	26
13:45.940	1	9	26
14:01.323	1	9	27
14:01.795	1	6	27
14:04.828	1	8	27
14:07.007	1	2	27
14:07.960	1	10	27
14:08.810	1	3	27
14:14.236	1	4	27
14:14.306	1	5	27
14:15.173	1	7	27
14:32.050	1	9	28
14:32.905	1	10	28
14:36.742	1	8	28
14:38.391	1	7	28
14:39.178	1	2	28
14:40.298	1	5	28
14:40.748	1	6	28
14:42.600	1	3	28
14:45.495	1	4	28
15:01.607	1	3	29
15:02.245	1	9	29
15:02.618	1	7	29
